NumThreads,Dim,Runtime
1,1000,1.09662
1,1000,0.912257
1,1000,1.10797
1,1000,0.908014
1,1000,0.879798
1,1500,3.1564
1,1500,3.15214
1,1500,2.9612
1,1500,3.15486
1,1500,2.96115
1,2000,7.3101
1,2000,7.26627
1,2000,7.27426
1,2000,7.2687
1,2000,7.27236
1,2500,14.3564
1,2500,14.1849
1,2500,14.2651
1,2500,14.2819
1,2500,14.3259
2,1000,0.615565
2,1000,0.620401
2,1000,0.53089
2,1000,0.491075
2,1000,0.474707
2,1500,1.50187
2,1500,1.51125
2,1500,1.51978
2,1500,1.52153
2,1500,1.5504
2,2000,3.90365
2,2000,3.95181
2,2000,3.88108
2,2000,3.77941
2,2000,3.86504
2,2500,7.73421
2,2500,7.85297
2,2500,7.81547
2,2500,7.71409
2,2500,7.83527
4,1000,0.266433
4,1000,0.238559
4,1000,0.235567
4,1000,0.234616
4,1000,0.233904
4,1500,0.778712
4,1500,0.776836
4,1500,0.782139
4,1500,0.791892
4,1500,0.836567
4,2000,2.06064
4,2000,2.04585
4,2000,1.99191
4,2000,2.03424
4,2000,2.06109
4,2500,3.93297
4,2500,3.97774
4,2500,3.98783
4,2500,4.04851
4,2500,4.03834
6,1000,0.198758
6,1000,0.163053
6,1000,0.170355
6,1000,0.168765
6,1000,0.169624
6,1500,0.554019
6,1500,0.583441
6,1500,0.561599
6,1500,0.549848
6,1500,0.554587
6,2000,1.42463
6,2000,1.46944
6,2000,1.46819
6,2000,1.49484
6,2000,1.43459
6,2500,2.78564
6,2500,2.83198
6,2500,2.96562
6,2500,2.71128
6,2500,2.75553
8,1000,0.137591
8,1000,0.128121
8,1000,0.129325
8,1000,0.134377
8,1000,0.129532
8,1500,0.418492
8,1500,0.423431
8,1500,0.43785
8,1500,0.424124
8,1500,0.432634
8,2000,1.1
8,2000,1.13801
8,2000,1.13451
8,2000,1.15672
8,2000,1.12423
8,2500,2.20283
8,2500,2.18822
8,2500,2.14451
8,2500,2.16213
8,2500,2.22256
10,1000,0.110809
10,1000,0.108341
10,1000,0.10837
10,1000,0.107562
10,1000,0.107802
10,1500,0.349311
10,1500,0.354242
10,1500,0.350033
10,1500,0.349552
10,1500,0.361626
10,2000,0.911599
10,2000,0.904515
10,2000,0.914994
10,2000,0.930895
10,2000,0.9556
10,2500,1.80026
10,2500,1.85867
10,2500,1.82081
10,2500,1.81231
10,2500,1.79914
12,1000,0.0967633
12,1000,0.0944969
12,1000,0.0956488
12,1000,0.0960838
12,1000,0.0942285
12,1500,0.305396
12,1500,0.303477
12,1500,0.303291
12,1500,0.303092
12,1500,0.305775
12,2000,0.788047
12,2000,0.786806
12,2000,0.803844
12,2000,0.791086
12,2000,0.812596
12,2500,1.62074
12,2500,1.58545
12,2500,1.56839
12,2500,1.57123
12,2500,1.6005
14,1000,0.112641
14,1000,0.0852951
14,1000,0.0837317
14,1000,0.0829409
14,1000,0.0822926
14,1500,0.265139
14,1500,0.269222
14,1500,0.264903
14,1500,0.265046
14,1500,0.265728
14,2000,0.695368
14,2000,0.702526
14,2000,0.697103
14,2000,0.714905
14,2000,0.70126
14,2500,1.39423
14,2500,1.41246
14,2500,1.4239
14,2500,1.36387
14,2500,1.38622
16,1000,0.0757446
16,1000,0.0738153
16,1000,0.0740459
16,1000,0.0740053
16,1000,0.0743307
16,1500,0.234053
16,1500,0.238926
16,1500,0.233706
16,1500,0.234714
16,1500,0.234216
16,2000,0.623109
16,2000,0.619119
16,2000,0.619818
16,2000,0.644692
16,2000,0.625577
16,2500,1.25054
16,2500,1.27213
16,2500,1.28326
16,2500,1.28055
16,2500,1.24563
18,1000,0.0769484
18,1000,0.066781
18,1000,0.0663554
18,1000,0.0675455
18,1000,0.0672838
18,1500,0.213746
18,1500,0.212749
18,1500,0.212376
18,1500,0.212253
18,1500,0.212235
18,2000,0.570813
18,2000,0.599094
18,2000,0.585034
18,2000,0.585522
18,2000,0.58667
18,2500,1.14077
18,2500,1.13733
18,2500,1.16547
18,2500,1.1719
18,2500,1.13576
20,1000,0.0745002
20,1000,0.0816324
20,1000,0.0614127
20,1000,0.0639678
20,1000,0.0621532
20,1500,0.19622
20,1500,0.192201
20,1500,0.220604
20,1500,0.193169
20,1500,0.198876
20,2000,0.544337
20,2000,0.552158
20,2000,0.554555
20,2000,0.534738
20,2000,0.54884
20,2500,1.06701
20,2500,1.05927
20,2500,1.09218
20,2500,1.10811
20,2500,1.12129
